node,in_degree,out_degree,pagerank,betweenness,clustering
naranonataly,80,0,0.0008677478250103973,0.0,0.0
simply_tryon,18,0,0.0008668239849689791,0.0,0.03333333333333333
nasrayusuff,92,0,0.0008633181148687671,0.0,0.0
_dcptv,43,0,0.0008564369227380286,0.0,0.0011614401858304297
njokitheyapper,46,0,0.000849703188339534,0.0,0.0
mabonga_254,163,4,0.0008464025494708101,0.00037887239038010025,0.0030557677616501145
brianmbunde,88,31,0.00084582079127309,0.0008520210673266071,0.01815408085430969
mogoijr,7,0,0.0008289500431806414,0.0,0.047619047619047616
mackio_,62,0,0.0008230359003021737,0.0,0.004230565838180857
faithodhiambo8,197,0,0.0008182044379252734,0.0,0.0003663003663003663
jimkario,2,0,0.0008140795198281398,0.0,1.0
wycliffeorandi,1,0,0.0008107351792612969,0.0,0.0
capitaineib226,45,0,0.0008098676095840055,0.0,0.005050505050505051
xkenyanboy,94,0,0.0007979541435439625,0.0,0.0
_mohkay,104,0,0.0007965956497899273,0.0,0.00038827412152980003
statehousekenya,103,0,0.0007941850808108762,0.0,0.00020202020202020202
_kigera,66,0,0.0007865812794000547,0.0,0.0
sir_benaiah,3,1,0.0007817562164082676,4.4736341138397106e-06,0.6666666666666666
beckiebig5,1,1,0.0007804169076075962,1.3325718636969345e-06,0.0
honkioni,100,0,0.0007746841666655555,0.0,0.0
cm_ruler,73,0,0.0007689209866284947,0.0,0.0
maxy_mwaura,98,0,0.0007670901944631449,0.0,0.0
lawsocietyofke,211,0,0.0007555139756744197,0.0,0.00027603974972396027
fra_nk001,66,0,0.0007548650236721702,0.0,0.0004662004662004662
afuncensored,29,1,0.0007534594812317959,0.0,0.005291005291005291
larrymadowo,185,0,0.0007493397151544002,0.0,0.0005404431633939831
brianmutuma_,81,0,0.000747808067709808,0.0,0.0009493670886075949
nasirkenya,26,0,0.0007420154526121752,0.0,0.0
okayojoshua,78,1,0.0007364970249470912,0.00016357002347864715,0.010594668489405332
kaphoimoe,90,16,0.0007359979119578946,0.0,0.005128205128205128
kipllangat,68,0,0.0007351046753216453,0.0,0.0
beth_kasinga,91,0,0.0007349205706500413,0.0,0.0002673082063619353
nassemblyke,5,0,0.0007159824770836865,0.0,0.0
edgarwabwire_,130,0,0.0007124100124829493,0.0,0.00048449612403100775
mansaplus,139,2,0.0007117649878979426,8.393933625230028e-05,0.00042936882782310007
strathu,2,0,0.0007110104055101101,0.0,1.0
mwabilimwagodi,118,0,0.0007063345527760239,0.0,0.0013729977116704805
its_bahaa,97,0,0.0006989222503182557,0.0,0.0023625429553264603
osama_otero,55,0,0.0006922144326176957,0.0,0.0
k24tv,102,0,0.0006834581298197706,0.0,0.0002192982456140351
siralexas,115,0,0.0006828606889446245,0.0,0.0
kevoh_254,106,6,0.0006821408735311091,9.544387334221715e-05,0.0020913770913770914
etalephilip,20,0,0.0006693451907864352,0.0,0.017543859649122806
rixpoet,102,0,0.0006684908738524292,0.0,0.00039603960396039607
cjmarthakoome,10,0,0.0006642342138571981,0.0,0.08888888888888889
colonel_edu,64,0,0.0006592600447838582,0.0,0.0
rigathi,40,0,0.0006532352352240238,0.0,0.011538461538461539
kdfinfo,6,0,0.0006477769802279135,0.0,0.13333333333333333
nyamburah_,94,1,0.0006380801439636621,7.614696363982486e-07,0.0004479283314669653
wnyakera,70,0,0.0006373296275286438,0.0,0.00041407867494824016
50boyziick,60,0,0.000629096819172084,0.0,0.0005844535359438924
izkctm,129,9,0.0006222302504160365,0.00019678490597965187,0.006379585326953748
drmumbiseraki,98,3,0.0006198578383693659,0.0,0.004804392587508579
jahmu__,46,0,0.0006028502729938124,0.0,0.0
rtunguru,98,1,0.0005987584224061282,3.807348181991243e-07,0.0006443298969072165
ocelittos,65,0,0.0005975678613887704,0.0,0.0
kipmurkomen,86,0,0.0005956547171716877,0.0,0.0025817555938037868
mariakemmy,76,3,0.0005940024173641573,1.0470207500475918e-06,0.0035702693930542034
laureezyf,21,0,0.0005936902327937169,0.0,0.02857142857142857
lawrenc_poetry,47,0,0.0005920135493106723,0.0,0.004625346901017576
itschanzu,32,2,0.0005880803481334209,2.2003299701757724e-05,0.0053475935828877
muthakamusic,15,4,0.0005825480548926137,0.00010780234423866635,0.03508771929824561
badmantriller,64,0,0.0005822137866499138,0.0,0.000992063492063492
princejeff001tv,57,0,0.0005790885983524499,0.0,0.0
bcherich,44,5,0.0005759497730592441,0.00011130147852021069,0.014184397163120567
iamwanjiru_,76,5,0.0005666344152435659,7.614696363982486e-07,0.0012658227848101266
mwaniking,1,0,0.0005660317589376181,0.0,0.0
