node,in_degree,out_degree,pagerank,betweenness,clustering
http://twitter.com/njiruadv/statuses/1937413220462903612,76,0,0.0002563885497713037,0.0,0.0
http://twitter.com/_kigera/statuses/1958936620545318996,66,0,0.00025562189421045133,0.0,0.0
_kigera,66,0,0.00025562189421045133,0.0,0.0
10,12,0,0.00025512699606222976,0.0,0.0
daguindd,103,11,0.0002526953415611692,3.161501117769224e-05,0.02267220491519557
cm_ruler,73,0,0.000252640100723696,0.0,0.0
116,1,0,0.00025221538704483284,0.0,0.0
1252,1,0,0.00025221538704483284,0.0,0.0
39,1,0,0.00025221538704483284,0.0,0.0
http://twitter.com/manlikesaiya/statuses/1937883898114969778,84,0,0.00025205768068163815,0.0,0.0005737234652897303
http://twitter.com/hkuriah/statuses/1937810935244324922,70,0,0.0002500687527949496,0.0,0.0008281573498964803
honkioni,100,0,0.0002496456577021163,0.0,0.0
xkenyanboy,94,0,0.00024962181057465606,0.0,0.0
mansaplus,139,4,0.00024855899545821566,2.844028202177335e-06,0.014810113191579393
http://twitter.com/muli_brian_/statuses/1937953308880343277,85,0,0.0002468464613640144,0.0,0.0
http://twitter.com/amenya_nelson/statuses/1931788285430452336,84,0,0.0002457552516961455,0.0,0.0
118,2,0,0.0002451477407330225,0.0,0.0
maxy_mwaura,98,0,0.00024320641128008105,0.0,0.0
http://twitter.com/c_nyakundih/statuses/1937194828367897059,64,0,0.0002423853426312459,0.0,0.0
http://twitter.com/naranonataly/statuses/1937834891971825741,70,0,0.0002415237873805719,0.0,0.0
62,2,0,0.0002407687445450192,0.0,0.0
http://twitter.com/citizentvkenya/statuses/1936778198659821578,65,0,0.0002407090084346428,0.0,0.0
fra_nk001,65,0,0.0002405593829620515,0.0,0.0004807692307692308
kipllangat,68,0,0.00023968317917221477,0.0,0.0
http://twitter.com/kipllangat/statuses/1937861985087209472,68,0,0.00023968317917221477,0.0,0.0
brianmbunde,85,70,0.00023842839277897037,0.0009189785812866094,0.022165697674418606
72,2,0,0.00023675410193473676,0.0,0.0
http://twitter.com/nickmuthumbi/statuses/1937845251852399010,78,0,0.00023441573774482527,0.0,0.0
kaphoimoe,88,37,0.00023435733954954536,0.0,0.0185006435006435
http://twitter.com/kaphoimoe/statuses/1937866382932115637,88,0,0.00023435733954954536,0.0,0.0
akinyimaikoo,100,33,0.00023177451559425392,0.0001940266589062176,0.02005148353881588
http://twitter.com/farhiiiyaaa___/statuses/1937765402668597280,70,0,0.00023136486165172885,0.0,0.0008281573498964803
http://twitter.com/katheunzyimi/statuses/1937807225923187058,56,0,0.00022952662435619795,0.0,0.0
